id,frame,x1,y1,x2,y2,image_path,timestamp_in_video,is_person,has_face,mtcnn_pt,mtcnn_res,retinaFace_pt,retinaFace_res,yolov8_pt,yolov8_res,yolov11_pt,yolov11_res,opencv_pt,opencv_res
0,135,0,45,69,320,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_135.jpg,0:00:19,1,1,0.0246,0,2.1866,0,0.2185,0,0.3872,0,0.0036,0
1,136,0,42,98,326,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_136.jpg,0:00:19,1,1,0.054,0,2.2468,0,0.2242,0,0.4414,0,0.0156,0
2,137,0,39,150,322,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_137.jpg,0:00:20,1,1,0.0459,0,3.032,0,0.3345,0,0.4275,0,0.0232,0
3,138,0,51,162,323,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_138.jpg,0:00:20,1,1,0.0776,0,5.665,0,0.4148,0,0.3337,0,0.0234,0
4,139,0,53,193,336,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_139.jpg,0:00:20,1,1,0.0255,0,2.611,0,0.6141,0,0.3728,0,0.0259,0
5,140,0,45,220,333,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_140.jpg,0:00:20,1,1,0.1166,0,2.2337,1,0.4708,0,0.4968,0,0.0288,0
6,141,0,47,225,332,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_141.jpg,0:00:20,1,1,0.0456,0,1.9267,0,0.6841,0,0.4549,0,0.0143,0
7,142,0,46,229,331,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_142.jpg,0:00:20,1,1,0.274,0,2.5912,0,0.5428,0,0.4265,0,0.0285,0
8,143,0,46,229,331,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_143.jpg,0:00:20,1,1,0.1179,0,8.0577,0,0.4817,0,0.4234,0,0.0221,0
9,144,0,45,226,330,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_144.jpg,0:00:21,1,1,0.2912,0,6.1147,0,0.5545,0,0.432,0,0.032,0
10,145,0,45,225,332,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_145.jpg,0:00:21,1,1,0.4989,0,3.0701,0,0.5036,0,0.4784,0,0.0292,0
11,147,0,48,217,334,/Users/Documents/thesis/program/media/zf_processed_videos/RefCam_FC/person_frames/frame_147.jpg,0:00:21,1,1,0.0763,0,2.6588,1,1.8176,0,0.3478,0,0.0196,0
